Feature,Importance
cat__metastatic_cancer_diagnosis_code_C778,0.0008464945533846616
cat__breast_cancer_diagnosis_code_C50311,0.0008224417714609455
cat__patient_race_Asian,0.000802156685636851
cat__breast_cancer_diagnosis_code_1746,0.0007072845196331567
cat__metastatic_cancer_diagnosis_code_C771,0.000665344115783118
cat__breast_cancer_diagnosis_code_C50819,0.0006472784121989627
cat__metastatic_cancer_diagnosis_code_C787,0.000631399145652589
cat__metastatic_cancer_diagnosis_code_C785,0.0005935507926794364
cat__metastatic_cancer_diagnosis_code_C786,0.0005289035706789581
cat__metastatic_cancer_diagnosis_code_C782,0.0004948787344734293
cat__metastatic_cancer_diagnosis_code_C7802,0.00047900978504570105
cat__breast_cancer_diagnosis_code_19881,0.0004208640838360877
cat__metastatic_cancer_diagnosis_code_C781,0.00037445872629175486
cat__metastatic_cancer_diagnosis_code_C7952,0.0003448525623620479
cat__breast_cancer_diagnosis_code_C50611,0.0003356740521154581
cat__metastatic_cancer_diagnosis_code_C770,0.00026059774414357857
cat__breast_cancer_diagnosis_code_C5091,0.00023911511135200008
cat__metastatic_cancer_diagnosis_code_C772,0.00023139879464349948
cat__breast_cancer_diagnosis_code_C50419,0.000210114135787376
cat__metastatic_cancer_diagnosis_code_C7949,0.00014560612591494237
cat__breast_cancer_diagnosis_code_C50612,0.00013839646610100772
cat__metastatic_cancer_diagnosis_code_C775,0.00011791157077746525
cat__metastatic_cancer_diagnosis_code_C7940,0.00010531290693951796
cat__breast_cancer_diagnosis_code_C5001,9.030763886703636e-05
cat__breast_cancer_diagnosis_code_C5041,7.749194643381222e-05
cat__breast_cancer_diagnosis_code_C50219,7.412611670971985e-05
cat__metastatic_cancer_diagnosis_code_C7961,7.182694407921106e-05
cat__breast_cancer_diagnosis_code_C50519,6.483605048795316e-05
cat__breast_cancer_diagnosis_code_C50,5.077643176606323e-05
cat__breast_cancer_diagnosis_code_C50319,4.823787371661642e-05
cat__metastatic_cancer_diagnosis_code_C7960,2.6490302307434862e-05
cat__metastatic_cancer_diagnosis_code_C7911,1.9848621813700238e-05
cat__metastatic_cancer_diagnosis_code_C7982,1.7882495819454747e-05
cat__metastatic_cancer_diagnosis_code_C7932,1.1188972835773254e-05
cat__metastatic_cancer_diagnosis_code_C7889,8.560198163747216e-06
cat__breast_cancer_diagnosis_code_C509,7.531518991668301e-06
cat__breast_cancer_diagnosis_code_C50119,4.635673574151616e-06
cat__metastatic_cancer_diagnosis_code_C7970,8.262991313995747e-07
cat__breast_cancer_diagnosis_code_C5081,0.0
cat__breast_cancer_diagnosis_code_C5021,0.0
cat__breast_cancer_diagnosis_code_C50021,0.0
cat__breast_cancer_diagnosis_code_C50019,0.0
cat__metastatic_cancer_diagnosis_code_C784,0.0
cat__patient_gender_F,0.0
